iter	RMSE
0	11.21679448
1	10.8052915
2	10.45646312
3	10.13861779
4	9.794528017
5	9.475598032
6	9.194881889
7	8.902966587
8	8.639985569
9	8.381593447
10	8.133873835
11	7.906908876
12	7.651260781
13	7.415752611
14	7.20371145
15	6.972711767
16	6.780181379
17	6.597387502
18	6.4082195
19	6.233832525
20	6.088979863
21	5.943421642
22	5.790226177
23	5.646567461
24	5.502692264
25	5.367188617
26	5.232833272
27	5.108707422
28	4.99295305
29	4.892663456
30	4.787666507
31	4.69758291
32	4.597848626
33	4.50767775
34	4.420838613
35	4.346529089
36	4.263655701
37	4.198422102
38	4.132950054
39	4.071418413
40	4.006031291
41	3.951419598
42	3.902558823
43	3.842520505
44	3.787441561
45	3.743601867
46	3.699777848
47	3.654801556
48	3.616285669
49	3.577623688
50	3.542763325
51	3.509232888
52	3.468704639
53	3.439298307
54	3.411891806
55	3.383561364
56	3.360914612
57	3.3307856
58	3.30212087
59	3.274810683
60	3.249258571
61	3.221928541
62	3.195276297
63	3.172326088
64	3.152154889
65	3.130471723
66	3.108740585
67	3.090248927
68	3.070224372
69	3.052330191
70	3.035898866
71	3.019267825
72	2.999308355
73	2.982947405
74	2.963276045
75	2.94610453
76	2.936579759
77	2.92029255
78	2.907995531
79	2.892052689
80	2.877295441
81	2.864001879
82	2.850407146
83	2.840044134
84	2.827394926
85	2.816475119
86	2.809481408
87	2.79707445
88	2.78335684
89	2.777290873
90	2.769179883
91	2.756205193
92	2.737232159
93	2.72413457
94	2.71459463
95	2.707902955
96	2.697847601
97	2.69056375
98	2.681475454
99	2.669983915
100	2.659215896
101	2.649545673
102	2.642130366
103	2.634672092
104	2.626593117
105	2.617238508
106	2.605552972
107	2.597648771
108	2.590814481
109	2.582899243
110	2.574433682
111	2.566063133
112	2.55892998
113	2.551848605
114	2.544415434
115	2.535452988
116	2.529248367
117	2.523780839
118	2.513960244
119	2.508408226
120	2.498108343
121	2.484962189
122	2.475301445
123	2.46939682
124	2.462676794
125	2.454024318
126	2.441240007
127	2.430884979
128	2.42324795
129	2.418114762
130	2.412420323
131	2.404424227
132	2.398269252
133	2.392493536
134	2.387837838
135	2.382431453
136	2.380101763
137	2.373107831
138	2.368700749
139	2.358900075
140	2.355321776
141	2.350504457
142	2.347451608
143	2.342735015
144	2.334365186
145	2.332229562
146	2.323569098
147	2.314000748
148	2.309928875
149	2.300597067
150	2.297407433
151	2.294327587
152	2.28856789
153	2.282325273
154	2.271958224
155	2.268616843
156	2.265431959
157	2.25696443
158	2.245762282
159	2.243539407
160	2.240752819
161	2.232634526
162	2.224731023
163	2.219359394
164	2.213692808
165	2.208659431
166	2.198985916
167	2.19754135
168	2.191420878
169	2.186560108
170	2.185607045
171	2.183630626
172	2.182829364
173	2.179793596
174	2.176926867
175	2.170900597
176	2.163505687
177	2.161506699
178	2.15308721
179	2.147037529
180	2.145517791
181	2.144834414
182	2.141609489
183	2.134882209
184	2.130290922
185	2.12717769
186	2.120232468
187	2.119622132
188	2.119021041
189	2.116648052
190	2.108498491
191	2.102073383
192	2.093270037
193	2.092725988
194	2.086407385
195	2.084942786
196	2.075131287
197	2.074561836
198	2.067906115
199	2.063914868
200	2.057223648
201	2.050108613
202	2.042218129
203	2.037972442
204	2.033176622
205	2.028841352
206	2.027882659
207	2.019346366
208	2.010849051
209	2.010342746
210	2.00340792
211	1.995093886
212	1.991950919
213	1.988229939
214	1.980313341
215	1.976180384
216	1.975749223
217	1.969586371
218	1.962647429
219	1.952497822
220	1.952064156
221	1.946853318
222	1.946422028
223	1.939116172
224	1.931522482
225	1.931190878
226	1.924661359
227	1.921412088
228	1.918149713
229	1.910986803
230	1.908961314
231	1.902066045
232	1.899055648
233	1.894152603
234	1.887403272
235	1.877912044
236	1.871305994
237	1.864693973
238	1.858493896
239	1.850409032
240	1.844622427
241	1.836360664
242	1.830968168
243	1.830646468
244	1.824692524
245	1.820960485
246	1.814658121
247	1.805934605
248	1.802371677
249	1.796900321
250	1.796225514
251	1.792173706
252	1.790496886
253	1.787193372
254	1.781399989
255	1.779391392
256	1.7730129
257	1.772627943
258	1.769772355
259	1.769256029
260	1.763751163
261	1.760190236
262	1.752666076
263	1.751232412
264	1.750975836
265	1.750392026
266	1.749411387
267	1.748535999
268	1.748309044
269	1.742283336
270	1.741691051
271	1.735645623
272	1.73538577
273	1.73122874
274	1.725561851
275	1.725292543
276	1.722184671
277	1.716071758
278	1.711945262
279	1.705281955
280	1.702238045
281	1.694167756
282	1.686301543
283	1.68181814
284	1.681130697
285	1.676173548
286	1.669013428
287	1.662086061
288	1.657427782
289	1.650619927
290	1.65039976
291	1.64306001
292	1.63752448
293	1.629528535
294	1.625684238
295	1.621106033
296	1.619265894
297	1.619076221
298	1.618859142
299	1.616218931
300	1.613153929
301	1.606291537
302	1.606101455
303	1.604492165
304	1.601851107
305	1.593841773
306	1.588698653
307	1.583993331
308	1.579157863
309	1.5761979
310	1.572518052
311	1.567716331
312	1.558001539
313	1.557815469
314	1.552866055
315	1.552716987
316	1.547014231
317	1.546772093
318	1.542543442
319	1.534870332
320	1.528460782
321	1.523211941
322	1.517965655
323	1.514856761
324	1.508989877
325	1.504049382
326	1.497377926
327	1.497220854
328	1.489963399
329	1.489841029
330	1.485087955
331	1.478884802
332	1.477463593
333	1.473881152
334	1.473645825
335	1.469385334
336	1.46452851
337	1.45941172
338	1.45370946
339	1.447712684
340	1.445975968
341	1.443446488
342	1.441140368
343	1.436257716
344	1.435915005
345	1.43393721
346	1.428793267
347	1.428655193
348	1.428384948
349	1.428254852
350	1.427954004
351	1.42239577
352	1.417963449
353	1.413321338
354	1.411340381
355	1.407398869
356	1.401370909
357	1.396434075
358	1.39594801
359	1.391896174
360	1.385369804
361	1.380768072
362	1.377559757
363	1.374262538
364	1.373634291
365	1.368877627
366	1.364738852
367	1.362442588
368	1.357849124
369	1.353152426
370	1.350098582
371	1.343937517
372	1.340788532
373	1.336779977
374	1.33426112
375	1.330936627
376	1.326638134
377	1.322488783
378	1.317377811
379	1.313538629
380	1.313178928
381	1.309783225
382	1.309043286
383	1.308939279
384	1.306425586
385	1.303078988
386	1.300573108
387	1.297263413
388	1.294151458
389	1.294051574
390	1.290547017
391	1.285618346
392	1.285401678
393	1.281797798
394	1.279786755
395	1.276845463
396	1.276693368
397	1.276603015
398	1.271894983
399	1.269432067
400	1.269338765
401	1.266823279
402	1.265914374
403	1.263990407
404	1.260342876
405	1.2559371
406	1.251638871
407	1.251545509
408	1.249376185
409	1.244683491
410	1.242465627
411	1.242380894
412	1.237908519
413	1.234462153
414	1.231473718
415	1.227704039
416	1.226109098
417	1.224078643
418	1.223994273
419	1.2215227
420	1.221440545
421	1.220100681
422	1.216200611
423	1.213596552
424	1.207915451
425	1.205461168
426	1.20420038
427	1.199743142
428	1.194960636
429	1.192373798
430	1.189926561
431	1.187755455
432	1.182864587
433	1.179689483
434	1.175588352
435	1.17525326
436	1.175188322
437	1.172782807
438	1.170187991
439	1.165938329
440	1.163445206
441	1.163342155
442	1.160093486
443	1.157591044
444	1.154826359
445	1.151214321
446	1.148267218
447	1.148216988
448	1.146456949
449	1.143888785
450	1.138969756
451	1.135703858
452	1.133681593
453	1.129802239
454	1.129391695
455	1.125970765
456	1.123374658
457	1.120447709
458	1.114798659
459	1.110004268
460	1.107468733
461	1.106216477
462	1.101945777
463	1.098395693
464	1.095017379
465	1.094914913
466	1.094842048
467	1.092898825
468	1.089912531
469	1.08713886
470	1.085837507
471	1.085351833
472	1.082738244
473	1.082699259
474	1.08080682
475	1.077765336
476	1.074021831
477	1.069944166
478	1.065218871
479	1.060535369
480	1.056088357
481	1.052362789
482	1.052308959
483	1.049743083
484	1.0496705
485	1.047090846
486	1.047028913
487	1.044199996
488	1.042077727
489	1.039974447
490	1.03703017
491	1.035418275
492	1.034470327
493	1.0344088
494	1.031523856
495	1.027293768
496	1.025595522
497	1.023083635
498	1.021008414
499	1.019278642
500	1.017827796
501	1.016181591
502	1.014506942
503	1.012554389
504	1.012498174
505	1.009245484
506	1.005808594
507	1.004038646
508	1.002110718
509	0.9985255039
510	0.9984003334
511	0.9975470932
512	0.9974960977
513	0.9955016726
514	0.9921770604
515	0.9921303649
516	0.9898251458
517	0.9879580512
518	0.9847049295
519	0.9846563219
520	0.9828010163
521	0.9814568096
522	0.9763802452
523	0.9730767317
524	0.9729546824
525	0.9712224429
526	0.9694358681
527	0.9680950811
528	0.9645212802
529	0.9614475655
530	0.9583576265
531	0.9582807023
532	0.9561032404
533	0.9534846717
534	0.9513699128
535	0.9513251505
536	0.9483308744
537	0.9456423424
538	0.9436652194
539	0.943626275
540	0.9414852717
541	0.9397376986
542	0.9370069934
543	0.9356761006
544	0.9345753753
545	0.931905089
546	0.9299782271
547	0.925161812
548	0.9226864775
549	0.9186133741
550	0.9145961597
551	0.912650962
552	0.9084978633
553	0.904799148
554	0.9024485031
555	0.9000557176
556	0.8980669263
557	0.8947964762
558	0.8927127332
559	0.8914768588
560	0.8883192791
561	0.887068653
562	0.8866343261
563	0.8833931209
564	0.8817194329
565	0.8798139572
566	0.8786385542
567	0.8773043274
568	0.8762201253
569	0.8732368292
570	0.8697627662
571	0.8671409253
572	0.8649277376
573	0.8617903806
574	0.8596322745
575	0.8567819667
576	0.8541775636
577	0.8516203482
578	0.8515257262
579	0.8501045437
580	0.8478908393
581	0.8462572224
582	0.8419717898
583	0.8398287723
584	0.8379833075
585	0.8367043982
586	0.834262942
587	0.8323678749
