iter	Passed	Remaining
0	12	12902
1	16	8303
2	20	6659
3	26	6675
4	28	5769
5	30	5123
6	33	4682
7	34	4329
8	39	4308
9	41	4102
10	42	3865
11	44	3662
12	45	3488
13	47	3350
14	49	3225
15	51	3137
16	54	3140
17	56	3089
18	58	3016
19	59	2937
20	61	2867
21	62	2799
22	64	2737
23	66	2696
24	69	2715
25	72	2701
26	73	2661
27	76	2644
28	77	2600
29	79	2561
30	80	2523
31	82	2486
32	85	2518
33	87	2492
34	89	2461
35	90	2431
36	92	2404
37	93	2376
38	95	2349
39	96	2322
40	99	2336
41	101	2322
42	103	2307
43	105	2292
44	107	2278
45	109	2265
46	111	2251
47	112	2236
48	116	2253
49	118	2245
50	119	2229
51	121	2212
52	122	2195
53	124	2178
54	125	2160
55	127	2149
56	129	2136
57	132	2144
58	133	2131
59	135	2125
60	137	2116
61	139	2104
62	140	2090
63	143	2095
64	147	2118
65	149	2115
66	151	2104
67	152	2091
68	154	2079
69	155	2066
70	157	2054
71	158	2044
72	162	2061
73	164	2058
74	166	2047
75	167	2036
76	169	2026
77	170	2016
78	172	2006
79	173	1997
80	175	1989
81	179	2010
82	181	2004
83	183	1999
84	185	1994
85	186	1985
86	188	1975
87	189	1967
88	193	1977
89	194	1964
90	196	1958
91	197	1950
92	199	1941
93	200	1934
94	202	1926
95	203	1919
96	205	1912
97	209	1924
98	211	1922
99	212	1915
100	214	1908
101	215	1900
102	217	1893
103	218	1886
104	220	1880
105	223	1887
106	225	1885
107	230	1905
108	233	1912
109	235	1907
110	237	1900
111	242	1922
112	244	1922
113	249	1941
114	251	1936
115	253	1930
116	258	1947
117	259	1942
118	261	1939
119	263	1932
120	267	1942
121	272	1961
122	275	1964
123	277	1960
124	279	1956
125	281	1949
126	282	1942
127	284	1939
128	287	1943
129	289	1936
130	290	1930
131	292	1922
132	295	1923
133	297	1919
134	300	1927
135	303	1926
136	305	1923
137	306	1916
138	308	1910
139	310	1904
140	311	1897
141	315	1905
142	318	1906
143	320	1903
144	321	1896
145	323	1890
146	325	1886
147	327	1888
148	333	1903
149	335	1899
150	336	1894
151	339	1892
152	340	1886
153	342	1880
154	344	1876
155	349	1890
156	351	1886
157	353	1881
158	354	1876
159	356	1873
160	358	1870
161	364	1885
162	368	1889
163	370	1888
164	371	1882
165	373	1876
166	375	1872
167	379	1877
168	383	1883
169	385	1880
170	388	1882
171	394	1900
172	398	1905
173	400	1899
174	401	1892
175	403	1886
176	404	1881
177	408	1885
178	410	1885
179	412	1880
180	414	1874
181	415	1868
182	417	1862
183	419	1861
184	425	1875
185	427	1872
186	430	1871
187	433	1872
188	436	1873
189	442	1886
190	444	1882
191	446	1880
192	448	1875
193	449	1869
194	451	1863
195	456	1872
196	460	1877
197	463	1878
198	465	1875
199	467	1871
200	473	1880
201	475	1876
